,model,shape,size,dimensions,height,price,top,top_1,top_2,top_3,notes,pad
443, Rectangular,,Size ,Dimensions,,,,Wood Top,,,,
444,,,,CMs (H75),,,,,,,,
445,,,S,190 x 100,,,,11900,,,,
446,,,M,220 x 100  ,,,,13680,,,,
447,,,L,250 x 100 ,,,,15740,,,,
448,,,XL,300 x 110 ,,,,19660,,,,
449,,,,,,,,,,,,
450,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
451,,,,,,,,,,,,
452,,,Additional cost for base in a specialist finish:,,,,,,1530,,,
453,,,,,,,,,,,,
454,,,,,,,,,,,,
455,,,,,,,,,,,,
456,Papillon,,,,,,,,,,,
457,Round,,Size ,Dimensions ,,,,Glass Top,Wood Top,Marble Top ,,
458,,,,CMs (H75),,,,,,(Exluding Calacatta Oro/Limurian Blue),,
459,,,S,100 D ,,,,6390,9260,12130,,
460,,,M,120 D,,,,7350,10650,13950,,
461,,,L,150 D,,,,9180,13310,17430,,
462,,,XL,170 D ,,,,10560,15300,20040,,
463,,,,,,,,,,,,
464,,,Prices above are with a steel base with a standard finish,,,,,,,,,
465,,,,,,,,,,,,
466,,,Additional cost for base in a specialist finish:,,,,,,1540,,,
467,,,,,,,,,,,,
468,,,Additional cost for base in a Special Edition ,,,,,,,,,
469,,, 'Butterfly' finish:,,,,,,3240,,,
470,,,,,,,,,,,,
471,Papillon,,,,,,,,,,,
472,Oval single pedestal base,,Size ,Dimensions ,,,,Glass top ,Wood Top ,Marble Top ,,
473,,,,CMs (H75),,,,,,(excluding Calacatta oro/Limurian Blue),,
474,,,S,190 x110,,,,8940,12950,16970,,
475,,,M,220 x 120,,,,10280,14900,19520,,
476,,,L,250 x 120,,,,11820,16970,22440,,
477,,,XL,300 x 140,,,,14770,21410,28050,,
478,,,,,,,,,,,,
479,,,Prices above are with a steel base with a standard finish,,,,,,,,,
480,,,,,,,,,,,,
481,,,Additional cost for base in a specialist finish:,,,,,,1540,,,
482,,,,,,,,,,,,
483,,,Additional cost for base in a Special Edition ,,,,,,,,,
484,,, 'Butterfly' finish:,,,,,,3240,,,
485,,,,,,,,,,,,
486,,,,,,,,,,,,
487,,,,,,,,,,,,
