,model,shape,size,dimensions,height,price,top,top_1,top_2,top_3,notes,pad
378,,,Additional cost for base in a specialist finish:,,,,,,1330,,,
379,,,,,,,,,,,,
380,,,,,,,,,,,,
381,,,,,,,,,,,,
382,,,,,,,,,,,,
383,Exe glass top double pedestal,,,,,,,,,,,
384, Rectangular,,Size ,Dimensions,,,, Glass Top ,,,,
385,,,,CMs (H75),,,,,,,,
386,,,S,190 x 100,,,,7160,,,,
387,,,M,220 x 100  ,,,,8230,,,,
388,,,L,250 x 100 ,,,,9470,,,,
389,,,XL,300 x 110 ,,,,11830,,,,
390,,,,,,,,,,,,
391,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
392,,,,,,,,,,,,
393,,,Additional cost for base in a specialist finish:,,,,,,1330,,,
394,,,,,,,,,,,,
395,,,,,,,,,,,,
396,,,,,,,,,,,,
397,Exe wood top double pedestal,,,,,,,,,,,
398, Rectangular,,Size ,Dimensions,,,,Wood Top,,,,
399,,,,CMs (H75),,,,,,,,
400,,,S,190 x 100,,,,10380,,,,
401,,,M,220 x 100  ,,,,11940,,,,
402,,,L,250 x 100 ,,,,13730,,,,
403,,,XL,300 x 110 ,,,,17160,,,,
404,,,,,,,,,,,,
405,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
406,,,,,,,,,,,,
407,,,Additional cost for base in a specialist finish:,,,,,,1330,,,
408,,,,,,,,,,,,
409,,,,,,,,,,,,
410,,,,,,,,,,,,
411,Exe glass top single pedestal,,,,,,,,,,,
412, Rectangular,,Size ,Dimensions,,,,Glass top ,,,,
413,,,,CMs (H75),,,,,,,,
414,,,S,190 x 100,,,,7160,,,,
415,,,M,220 x 100  ,,,,8230,,,,
416,,,L,250 x 100 ,,,,9470,,,,
417,,,XL,300 x 110 ,,,,11830,,,,
418,,,,,,,,,,,,
419,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
420,,,,,,,,,,,,
421,,,Additional cost for base in a specialist finish:,,,,,,1330,,,
422,,,,,,,,,,,,
423,,,,,,,,,,,,
424,,,,,,,,,,,,
425,Exe wood top single pedestal ,,,,,,,,,,,
426, Rectangular,,Size ,Dimensions,,,,Wood Top,,,,
427,,,,CMs (H75),,,,,,,,
428,,,S,190 x 100,,,,10380,,,,
429,,,M,220 x 100  ,,,,11940,,,,
430,,,L,250 x 100 ,,,,13730,,,,
431,,,XL,300 x 110 ,,,,17160,,,,
432,,,,,,,,,,,,
433,,,Prices above are with a steel base with a standard finish.,,,,,,,,,
434,,,,,,,,,,,,
435,,,Additional cost for base in a specialist finish:,,,,,,1330,,,
436,,,,,,,,,,,,
437,,,,,,,,,,,,
438,,,,,,,,,,,,
439,,,,,,,,,,,,
440,,,,,,,,,,,,
441,,,,,,,,,,,,
442,,,,,,,,,,,,
443,Papillon,,,,,,,,,,,
444,Round,,Size ,Dimensions ,,,,Glass Top,Wood Top,Marble Top ,,
445,,,,CMs (H75),,,,,,(excluding Calacatta Oro/Limurian Blue),,
446,,,S,100 D,,,,5570,8080,10580,,
447,,,M,120 D,,,,6410,9290,12170,,
448,,,L,150 D,,,,8010,11610,15210,,
449,,,XL,170 D ,,,,9210,13350,17490,,
450,,,,,,,,,,,,
451,,,Prices above are with a steel base with a standard finish,,,,,,,,,
452,,,,,,,,,,,,
453,,,Additional cost for base in a specialist finish:,,,,,,1340,,,
454,,,,,,,,,,,,
455,,,Additional cost for base in a Special Edition ,,,,,,,,,
456,,, 'Butterfly' finish:,,,,,,2820,,,
457,,,,,,,,,,,,
458,Papillon,,,,,,,,,,,
459,Oval single pedestal base,,Size ,Dimensions ,,,,Glass top,Wood Top ,Marble Top ,,
460,,,,CMs (H75),,,,,,(excluding Calacatta Oro/Limurian Blue),,
461,,,S,190 x110,,,,7800,11300,14810,,
462,,,M,220 x 120,,,,8970,13000,17030,,
463,,,L,250 x 120,,,,10310,14810,19580,,
464,,,XL,300 x 140,,,,12890,18680,24480,,
465,,,,,,,,,,,,
466,,,Prices above are with a steel base with a standard finish,,,,,,,,,
467,,,,,,,,,,,,
468,,,Additional cost for base in a specialist finish:,,,,,,1340,,,
469,,,,,,,,,,,,
470,,,Additional cost for base in a Special Edition ,,,,,,,,,
471,,, 'Butterfly' finish:,,,,,,2820,,,
472,,,,,,,,,,,,
473,,,,,,,,,,,,
474,Papillon,,,,,,,,,,,
475,Lozenge-shaped,,Size ,Dimensions ,,,,Glass Top,Wood Top ,Marble Top ,,
476,,,,CMs (H75),,,,,,(excluding Calacatta Oro/Limurian Blue),,
477,,,S,190 x110,,,,7800,11300,14810,,
478,,,M,220 x 120,,,,8970,13000,17030,,
479,,,L,250 x 120,,,,10310,14810,19580,,
480,,,XL,300 x 140,,,,12890,18680,24480,,
481,,,,,,,,,,,,
482,,,Prices above are with a steel base with a standard finish,,,,,,,,,
483,,,,,,,,,,,,
484,,,Additional cost for base in a specialist finish:,,,,,,1750,,,
485,,,,,,,,,,,,
486,,,Additional cost for base in a Special Edition ,,,,,,,,,
487,,, 'Butterfly' finish:,,,,,,5790,,,
488,,,,,,,,,,,,
489,Phoenix,,,,,,,,,,,
490,Round,,Size ,Dimensions ,,,,Glass Top,Wood Top ,Marble Top,,
491,,,,CMs (H75),,,,,,(excluding Calacatta Oro/Limurian Blue),,
492,,,S,100 D,,,,4930,7150,9370,,
493,,,M,120 D,,,,5670,8230,10780,,
494,,,L,150 D,,,,7090,10280,13470,,
495,,,XL,170 D ,,,,8150,11280,15490,,
496,,,,,,,,,,,,
497,,,Prices above are with a steel base with a standard finish,,,,,,,,,
498,,,,,,,,,,,,
499,,,Additional cost for base in a specialist finish:,,,,,,1200,,,
500,,,,,,,,,,,,
501,,,Additional cost for base in Bronze:,,,,,,3310,,,
502,,,,,,,,,,,,
503,Phoenix,,,,,,,,,,,
504,Rectangular,,Size ,Dimensions ,,,,Wood Top,Marble top ,,,
505,,,,CMs (H75),,,,(barrel shape with chamfered edge),(excluding Calacatta Oro/Limurian Blue),,,
506,,,M,220 x 110  ,,,,13530,16230,,,
507,,,L,250 x 120 ,,,,16910,20290,,,
508,,,XL,300 x 120 ,,,,19440,23330,,,
509,,,,,,,,,,,,
510,,,Prices above are with a steel base with a standard finish,,,,,,,,,
511,,,,,,,,,,,,
512,,,Additional cost for base in a specialist finish:,,,,,,1910,,,
513,,,,,,,,,,,,
514,,,Additional cost for base in Bronze:,,,,,,5000,,,
515,,,,,,,,,,,,
516,Vienna,,,,,,,,,,,
517, Rectangular,,Size ,Dimensions ,,,,Wood Top,,,,
518,,,,CMs (H75),,,,(barrel shape with rolled edge),,,,
